month,countries,value,country_code
1967-02,Japan,319,392
1967-02,United Kingdom,510,826
1967-02,France,na,250
1967-02,Germany,na,276
1967-03,Malaysia,10956,458
1967-03,Indonesia,1319,360
1967-03,Thailand,2940,764
1967-03,Philippines,597,608
1967-03,Vietnam,na,704
1967-03,China,na,156
1967-03,Hong Kong,2277,344
1967-03,Japan,288,392
1967-03,United Kingdom,677,826
1967-03,France,na,250
1967-03,Germany,na,276
1967-04,Malaysia,12229,458
1967-04,Indonesia,1545,360
1967-04,Thailand,3553,764
1967-04,Philippines,589,608
1967-04,Vietnam,na,704
1967-04,China,na,156
1967-04,Hong Kong,2813,344
1967-04,Japan,361,392
1967-04,United Kingdom,1132,826
1967-04,France,na,250
1967-04,Germany,na,276
1967-05,Malaysia,11264,458
1967-05,Indonesia,1673,360
1967-05,Thailand,3579,764
1967-05,Philippines,557,608
1967-05,Vietnam,na,704
1967-05,China,na,156
1967-05,Hong Kong,2233,344
1967-05,Japan,493,392
1967-05,United Kingdom,831,826
1967-05,France,na,250
1967-05,Germany,na,276
1967-06,Malaysia,10237,458
1967-06,Indonesia,1873,360
1967-06,Thailand,2573,764
1967-06,Philippines,524,608
1967-06,Vietnam,na,704
1967-06,China,na,156
1967-06,Hong Kong,2034,344
1967-06,Japan,314,392
1967-06,United Kingdom,752,826
1967-06,France,na,250
1967-06,Germany,na,276
1967-07,Malaysia,11334,458
1967-07,Indonesia,2198,360
1967-07,Thailand,3750,764
1967-07,Philippines,671,608
1967-07,Vietnam,na,704
1967-07,China,na,156
1967-07,Hong Kong,2286,344
1967-07,Japan,492,392
1967-07,United Kingdom,1897,826
1967-07,France,na,250
1967-07,Germany,na,276
1967-08,Malaysia,12770,458
1967-08,Indonesia,2846,360
1967-08,Thailand,3238,764
1967-08,Philippines,701,608
1967-08,Vietnam,na,704
1967-08,China,na,156
1967-08,Hong Kong,2653,344
1967-08,Japan,533,392
1967-08,United Kingdom,1128,826
1967-08,France,na,250
1967-08,Germany,na,276
1967-09,Malaysia,9739,458
1967-09,Indonesia,2496,360
1967-09,Thailand,2829,764
1967-09,Philippines,478,608
1967-09,Vietnam,na,704
1967-09,China,na,156
1967-09,Hong Kong,2253,344
1967-09,Japan,332,392
1967-09,United Kingdom,2448,826
1967-09,France,na,250
1967-09,Germany,na,276
1967-10,Malaysia,10583,458
1967-10,Indonesia,2803,360
1967-10,Thailand,3446,764
1967-10,Philippines,528,608
1967-10,Vietnam,na,704
1967-10,China,na,156
1967-10,Hong Kong,2665,344
1967-10,Japan,304,392
1967-10,United Kingdom,595,826
1967-10,France,na,250
1967-10,Germany,na,276
1967-11,Malaysia,10972,458
1967-11,Indonesia,2772,360
1967-11,Thailand,3457,764
1967-11,Philippines,810,608
1967-11,Vietnam,na,704
1967-11,China,na,156
1967-11,Hong Kong,3278,344
1967-11,Japan,315,392
1967-11,United Kingdom,559,826
1967-11,France,na,250
1967-11,Germany,na,276
1967-12,Malaysia,13332,458
1967-12,Indonesia,2778,360
1967-12,Thailand,3259,764
1967-12,Philippines,643,608
1967-12,Vietnam,na,704
1967-12,China,na,156
1967-12,Hong Kong,2290,344
1967-12,Japan,405,392
1967-12,United Kingdom,656,826
1967-12,France,na,250
1967-12,Germany,na,276
1968-01,Malaysia,11586,458
1968-01,Indonesia,2684,360
1968-01,Thailand,2509,764
1968-01,Philippines,616,608
1968-01,Vietnam,na,704
1968-01,China,na,156
1968-01,Hong Kong,2097,344
1968-01,Japan,275,392
1968-01,United Kingdom,1889,826
1968-01,France,na,250
1968-01,Germany,na,276
1968-02,Malaysia,10772,458
1968-02,Indonesia,2532,360
1968-02,Thailand,2984,764
1968-02,Philippines,688,608
1968-02,Vietnam,na,704
1968-02,China,na,156
1968-02,Hong Kong,2327,344
1968-02,Japan,340,392
1968-02,United Kingdom,1152,826
1968-02,France,na,250
1968-02,Germany,na,276
1968-03,Malaysia,11117,458
1968-03,Indonesia,2842,360
1968-03,Thailand,3441,764
1968-03,Philippines,691,608
1968-03,Vietnam,na,704
1968-03,China,na,156
1968-03,Hong Kong,2498,344
1968-03,Japan,482,392
1968-03,United Kingdom,1436,826
1968-03,France,na,250
1968-03,Germany,na,276
1968-04,Malaysia,11890,458
1968-04,Indonesia,3301,360
1968-04,Thailand,4147,764
1968-04,Philippines,658,608
1968-04,Vietnam,na,704
1968-04,China,na,156
1968-04,Hong Kong,3429,344
1968-04,Japan,503,392
1968-04,United Kingdom,1194,826
1968-04,France,na,250
1968-04,Germany,na,276
1968-05,Malaysia,11774,458
1968-05,Indonesia,3375,360
1968-05,Thailand,3882,764
1968-05,Philippines,733,608
1968-05,Vietnam,na,704
1968-05,China,na,156
1968-05,Hong Kong,3038,344
1968-05,Japan,489,392
1968-05,United Kingdom,764,826
1968-05,France,na,250
1968-05,Germany,na,276
1968-06,Malaysia,10647,458
1968-06,Indonesia,3194,360
1968-06,Thailand,3123,764
1968-06,Philippines,612,608
